"Strain","Other_designations","Substrate_of_isolation","Geographic_location","Dataset","Phylogeny","Genome_data","Reference","Geographic_region"
"3-10","","Oak","Italy","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"AN1f2","AN1f2","Other tree","Greece","Large","Mosaic","PRJEB7601","This study","Europe and Mediterranea"
"AN1g2","AN1g2","Other tree","Greece","Large","Mosaic","PRJEB7601","This study","Europe and Mediterranea"
"AN3e1","AN3e1","Other tree","Greece","Large","Mosaic","PRJEB7601","This study","Europe and Mediterranea"
"AWRI1631","N96","Wine","Australia","Restricted","Wine","PRJNA30553","[4]","Oceania"
"AWRI796","Active Dry Wine Yeast","Wine","South Africa","Restricted","Wine","PRJNA48559","[5]","Africa"
"BC187","UC10, UCD2120","Other fermentation","USA","Restricted","Wine","SGRP2","[3]","America (North)"
"CBS7960","DBVPG7960","Other fermentation","Brazil","Restricted","Wine","PRJNA60391","","America (south and central)"
"CLIB215","","Other","New Zealand","Restricted","Wine","PRJNA60143","","Oceania"
"CLIB324","","Other","Vietnam","Large","Mosaic","PRJNA60415","","Asia (south-east)"
"DAV1e","","Oak","UK","Restricted","Wine","SRP059414","This study","Europe and Mediterranea"
"DBVPG1106","NCYC3447","Fruit","Australia","Restricted","Wine","SGRP2","[3]","Oceania"
"DBVPG1373","","Other","Netherlands","Restricted","Wine","SGRP2","[3]","Europe and Mediterranea"
"DBVPG1788","","Other","Finland","Restricted","Wine","SGRP2","[3]","Europe and Mediterranea"
"DBVPG6044","Y5, NRRL Y-1546, CBS405","Wine","West Africa","Restricted","West Africa","SGRP2","[3]","Africa (West)"
"DBVPG6765","","Other","Unknown","Restricted","Wine","SGRP2","[3]","other"
"EC1118","Prise de Mousse, 59A","Other fermentation","France","Restricted","Wine","PRJEA37863","[8]","Europe and Mediterranea"
"EC9","","Other","Israel","Large","Mosaic","PRJNA73985","[6]","Europe and Mediterranea"
"EXF6719","","Wine","Slovenia","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"EXF6761","","Oak","Slovenia","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"EXF6780","","Oak","Slovenia","Large","Mosaic","PRJEB7601","This study","Europe and Mediterranea"
"EXF7145","","Oak","Serbia","Large","Mosaic","SRP059414","This study","Europe and Mediterranea"
"EXF7179","","Oak","Montenegro","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"EXF7200","","Oak","Montenegro","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"FGXd","","Other tree","Greece","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"FostersB","","Other fermentation","Unknown","Restricted","Beer","PRJNA48569","[5]","other"
"FostersO","","Other fermentation","Unknown","Restricted","Beer","PRJNA48567","[5]","other"
"HUN9","DBS14","Oak","Hungary ","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"I14","","Fruit","Italy","Large","Mosaic","PRJNA60149","","Europe and Mediterranea"
"IOC9002","","Wine","Unknown","Restricted","Wine","SRP059414","This study","other"
"JAY291","","Other fermentation","Unknown","Large","Mosaic","PRJNA32809","[2]","other"
"Kyokai7","K7","Other fermentation","Japan","Restricted","Sake/Philippines","PRJNA45827","[1]","Asia (Japan)"
"L1374","","Wine","Chile","Restricted","Wine","SGRP2","[3]","America (south and central)"
"L1528","","Wine","Chile","Restricted","Wine","SGRP2","[3]","America (south and central)"
"LalvinQA23","","Wine","Portugal","Restricted","Wine","PRJNA48561","[5]","Europe and Mediterranea"
"M22","","Fruit","Italy","Restricted","Wine","PRJNA28815","[7]","Europe and Mediterranea"
"MB7c","","Oak","France","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"OakArd11","","Oak","France","Large","Mosaic","PRJEB7675","This study","Europe and Mediterranea"
"OakBord21","","Oak","France","Large","Mosaic","PRJEB7675","This study","Europe and Mediterranea"
"OakGri7","","Oak","France","Large","Mosaic","PRJEB7675","This study","Europe and Mediterranea"
"OakRom3","","Oak","Romania","Restricted","Mediterranean oak","PRJEB7675","This study","Europe and Mediterranea"
"PW5","","Wine","Nigeria","Restricted","West Africa","PRJNA60181","","Africa (West)"
"PYR4b","PYR4b","Oak","Greece","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"PYR4e","","Oak","Greece","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"RM11","Bb32","Fruit","USA","Restricted","Wine","PRJNA13674","","America (North)"
"S288Cc","","Other","USA","Large","Mosaic","Reference","","America (North)"
"SDO2s1","","Oak","USA","Restricted","North America/Japan","PRJEB7601","This study","America (North)"
"SDO3s1","","Oak","USA","Restricted","North America/Japan","PRJEB7601","This study","America (North)"
"SDO6s1","","Oak","USA","Restricted","North America/Japan","PRJEB7601","This study","America (North)"
"SDO8s1","","Oak","USA","Restricted","North America/Japan","PRJEB7601","This study","America (North)"
"SK1","","Other","USA","Restricted","West Africa","SGRP2","[3]","America (North)"
"SM69s1","","Oak","USA","Restricted","North America/Japan","PRJEB7601","This study","America (North)"
"SON4c","","Other tree","Portugal","Large","Mosaic","SRP059414","This study","Europe and Mediterranea"
"Spar","","","","","","","",""
"T7","T7 Fay","Oak","USA","Restricted","North America/Japan","PRJNA60387","","America (North)"
"T73","","Wine","Spain","Large","Mosaic","PRJNA60195","","Europe and Mediterranea"
"UC5","UCD612","Other fermentation","Japan","Restricted","Sake/Philippines","PRJNA60197","","Asia (Japan)"
"UWOPS03461","","Other tree","Malaysia","Restricted","Malaysia","SGRP2","[3]","Asia (south-east)"
"UWOPS83787","","Fruit","Bahamas","Restricted","North America/Japan","SGRP2","[3]","America (south and central)"
"UWOPS872421","","Other tree","Hawaii","Large","Mosaic","SGRP2","[3]","other"
"VELF","","Other tree","Greece","Restricted","Wine","SRP059414","This study","Europe and Mediterranea"
"VL3","B6","Wine","Unknown","Restricted","Wine","PRJNA48565","[5]","other"
"Vin13","","Wine","Unknown","Restricted","Wine","PRJNA48563","[5]","other"
"W303","","Other","Unknown","Large","Mosaic","SGRP2","[3]","other"
"WE372","","Wine","South Africa","Restricted","Wine","PRJNA60199","","Africa"
"Y10","NRRL Y-7567","Other plant material","Philippines","Large","Mosaic","PRJNA60201","","Asia (south-east)"
"Y12sgrp2","NRRL Y-12663, CBS400","Wine","Ivory Coast","Large","Mosaic","SGRP2","[3]","Africa"
"Y55","YJM627 (seg. Y55)","Other","France","Large","Mosaic","SGRP2","[3]","Europe and Mediterranea"
"Y9combined","NRRL Y-5997","Other fermentation","Indonesia","Restricted","Sake/Philippines","WashU","","Asia (south-east)"
"YJM1242","NRRL Y-35","Fruit","USA","Restricted","Wine","PRJNA189886","[9]","America (North)"
"YJM1248","NRRL Y-1546","Wine","West Africa","Restricted","West Africa","PRJNA189888","[9]","Africa (West)"
"YJM1273","YPS134","Oak","USA","Restricted","North America/Japan","PRJNA189891","[9]","America (North)"
"YJM1332","M1-2","Wine","Italy","Restricted","Wine","PRJNA189896","[9]","Europe and Mediterranea"
"YJM1336","M28s2","Wine","Italy","Restricted","Wine","PRJNA189897","[9]","Europe and Mediterranea"
"YJM1338","NRRL Y-963","Fruit","USA","Large","Mosaic","PRJNA189898","[9]","America (North)"
"YJM1341","NRRL Y-12637","Fruit","South Africa","Restricted","Wine","PRJNA189899","[9]","Africa"
"YJM1342","NRRL Y-12638","Other","South Africa","Large","Mosaic","PRJNA189900","[9]","Africa"
"YJM1381","NRRL YB-427","Other fermentation","Trinidad","Large","Mosaic","PRJNA189903","[9]","America (south and central)"
"YJM1383","NRRL Y-5511","Other plant material","Philippines","Large","Mosaic","PRJNA189904","[9]","Asia (south-east)"
"YJM1386","NRRL Y-11878","Other plant material","Jamaica","Large","Mosaic","PRJNA189906","[9]","America (south and central)"
"YJM1387","NRRL Y-12758","Wine","Japan","Large","Mosaic","PRJNA189907","[9]","Asia (Japan)"
"YJM1388","NRRL Y-12769","Other fermentation","Malaysia","Restricted","Sake/Philippines","PRJNA189908","[9]","Asia (south-east)"
"YJM1400","NRRL YB-4081","Fruit","Philippines","Restricted","Sake/Philippines","PRJNA189911","[9]","Asia (south-east)"
"YJM1401","NRRL YB-4082","Fruit","Philippines","Restricted","Sake/Philippines","PRJNA189912","[9]","Asia (south-east)"
"YJM1402","NRRL YB-4449","Fruit","Unknown","Restricted","North America/Japan","PRJNA189913","[9]","other"
"YJM1415","NRRL Y-268","Wine","France","Restricted","Wine","PRJNA189914","[9]","Europe and Mediterranea"
"YJM1418","NRRL YB-4506","Oak","Asia","Large","Mosaic","PRJNA189916","[9]","Asia (south-east)"
"YJM1433","YIIc17-E5","Wine","France","Large","Mosaic","PRJNA189918","[9]","Europe and Mediterranea"
"YJM1434","YPS606","Oak","USA","Restricted","North America/Japan","PRJNA189919","[9]","America (North)"
"YJM1439","","Other fermentation","West Africa","Restricted","West Africa","PRJNA189920","[9]","Africa (West)"
"YJM1447","UWOPS05-227.2","Other tree","Malaysia","Restricted","Malaysia","PRJNA189923","[9]","Asia (south-east)"
"YJM1463","DBVPG1853","Other","Ethiopia","Large","Mosaic","PRJNA189926","[9]","Africa (West)"
"YJM1479","NRRL Y-6297","Wine","Philippines","Restricted","Sake/Philippines","PRJNA189929","[9]","Asia (south-east)"
"YJM1574","AWRI1775","Wine","Unknown","Restricted","Wine","PRJNA189934","[9]","other"
"YJM195","NCYC762","Wine","Nigeria","Restricted","West Africa","PRJNA189849","[9]","Africa (West)"
"YJM269","","Other fermentation","Unknown","Large","Mosaic","PRJNA60389","","other"
"YJM270","CBS2807","Wine","Slovenia","Restricted","Wine","PRJNA189852","[9]","Europe and Mediterranea"
"YJM271","CBS1782","Other fermentation","Unknown","Large","Mosaic","PRJNA189853","[9]","other"
"YJM975","","Other","Italy","Restricted","Wine","SGRP2","[3]","Europe and Mediterranea"
"YJM978","","Other","Italy","Restricted","Wine","SGRP2","[3]","Europe and Mediterranea"
"YJSH1","","Other fermentation","China","Restricted","Sake/Philippines","PRJNA72403","[10]","Asia (south-east)"
