Strain,Other_designations,Substrate_of_isolation,Geographic_location,Dataset,Phylogeny,Genome_data,Reference
YJM1388,NRRL Y-12769,Fermented tapioca,Malaysia,Restricted,Sake/Philippines,PRJNA189908,[9]
YJM1400,NRRL YB-4081,Guava (fruit),Philippines,Restricted,Sake/Philippines,PRJNA189911,[9]
YJM1401,NRRL YB-4082,Papaya (fruit),Philippines,Restricted,Sake/Philippines,PRJNA189912,[9]
YJM1402,NRRL YB-4449,Grape vine slime flux,Unknown,Restricted,North America/Japan,PRJNA189913,[9]
YJM1415,NRRL Y-268,Wine,France,Restricted,Wine,PRJNA189914,[9]
YJM1418,NRRL YB-4506,Quercus variabilis bark,Asia (country unknown),Large,Mosaic,PRJNA189916,[9]
YJM1433,YIIc17-E5,Wine,"Sauternes, France",Large,Mosaic,PRJNA189918,[9]
YJM1434,YPS606,Oak,"Pennsylvania, USA",Restricted,North America/Japan,PRJNA189919,[9]
YJM1439,,Ginger beer  from Z. of?cinale,West Africa,Restricted,West Africa,PRJNA189920,[9]
YJM1447,UWOPS05-227.2,Bertram palm,Malaysia,Restricted,Malaysia,PRJNA189923,[9]
YJM1463,DBVPG1853,White Tecc,Ethiopia,Large,Mosaic,PRJNA189926,[9]
YJM1479,NRRL Y-6297,Coconut tuba  (palm wine),Philippines,Restricted,Sake/Philippines,PRJNA189929,[9]
YJM1574,AWRI1775,Wine,Unknown,Restricted,Wine,PRJNA189934,[9]
YJM195,NCYC762,Palm wine,Nigeria,Restricted,West Africa,PRJNA189849,[9]
YJM269,,Fermentation (apple juice),Unknown,Large,Mosaic,PRJNA60389,
YJM270,CBS2807,Wine,Slovenia,Restricted,Wine,PRJNA189852,[9]
YJM271,CBS1782,Brewery,Unknown,Large,Mosaic,PRJNA189853,[9]
YJM975,,Clinical,Italy,Restricted,Wine,SGRP2,[3]
YJM978,,Clinical,Italy,Restricted,Wine,SGRP2,[3]
YJSH1,,Bioethanol-producing strain,China,Restricted,Sake/Philippines,PRJNA72403,[10]
YPS1000,,Oak exudate,"New Jersey, USA",Restricted,YPS1000,SRP059414,This study
YPS1009,,Oak exudate,"New Jersey, USA",Restricted,North America/Japan,PRJNA60223,
YPS128,,Quercus alba,"Pennsylvania, USA",Restricted,North America/Japan,SGRP2,[3]
YPS163,,Quercus rubra,"Pennsylvania, USA",Restricted,North America/Japan,PRJNA28813,[7]
ZP1008,,Quercus faginea,"Eja, Melres, Douro, Portugal",Restricted,Mediterranean oak,SRP059414,This study
ZP1041,,Vineyard soil,"Meda, Guarda, Portugal",Restricted,Wine,SRP059414,This study
ZP1050,,Quercus ilex,"Vendinha, Reguengos de Monsaraz, Beja, Portugal",Restricted,North America/Japan,PRJEB7675,This study
ZP530,,Castanea sativa,"Mar?o, Campe?, Portugal",Restricted,North America/Japan,PRJEB7601,This study
ZP541,,Fagus sylvatica,"Adagoi, Portugal",Restricted,Mediterranean oak,PRJEB7601,This study
ZP560,,Quercus pyrenaica,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP561,,Quercus pyrenaica,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
ZP562,,Quercus ilex,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP563,,Castanea sativa,"Castelo de Vide, Portugal",Restricted,Mediterranean oak,PRJEB7601,This study
ZP564,,Quercus pyrenaica,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
ZP565,,Castanea sativa,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP566,,Quercus faginea,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
ZP567,,Quercus pyrenaica,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
ZP568,,Quecus pyrenaica,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP570,,Fraxinus sp.,"Paul Boquilobo, Portugal",Restricted,Mediterranean oak,PRJEB7601,This study
ZP575,,Quercus pyrenaica,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
